MonthYear,EventRootCode, SumAvgToneNumMentions,AvgAvgToneNumMentions
201902,06,-229.82392467393237,-7.4136749894816889
202001,03,-265.50642660269386,-4.7411861893338179
201508,16,-33.154907250425936,-8.2887268126064839
201607,06,-8.4889062289595252,-0.32649639342152037
201911,14,-21.5157353885678,-10.757867694283899
202005,02,44.213177772426349,2.4562876540236842
202004,01,-283.95349872686216,-10.516796249143045
201608,11,-1681.4675202001076,-18.892893485394467
201708,17,-1579.815296708809,-33.613091419336364
201706,01,-396.792947297195,-7.9358589459439015
201703,05,-268.131902453525,-3.0819758902704022
201604,18,-49.711455761174193,-16.57048525372473
201512,04,-1217.1536325728184,-8.39416298326081
201601,08,-261.39859163810928,-13.757820612532063
201605,03,-54.352704235100475,-1.4303343219763283
201506,16,-50.959847944880039,-10.191969588976008
201612,14,-98.971870950382822,-8.9974428136711673
201605,13,0.0,0.0
201511,06,-44.38759065624496,-3.1705421897317843
201909,12,-322.15247815780492,-16.107623907890247
201809,15,-3.79310344827588,-3.79310344827588
201709,07,0.96459361116352227,0.12057420139544028
201612,01,-2654.3729200341104,-22.305654790202606
201811,03,89.382455051977246,1.8241317357546385
201902,05,-347.49124833998275,-7.554157572608319
201806,04,-103.82243388576345,-0.46349300841858648
201911,11,-311.50382373163586,-18.323754337155048
201511,20,-21.052631578947359,-21.052631578947359
201711,20,-76.712328767123367,-76.712328767123367
201607,02,-1657.5742011872348,-21.526937677756294
201612,20,-316.00277203066526,-28.727524730060477
201707,16,-106.50877629692798,-15.215539470989718
201905,17,-62.188153310104518,-15.547038327526131
202005,12,-282.22746185968748,-28.222746185968742
201707,02,-1.2809560920656367,-0.020999280197796177
201708,10,-1904.9308101146732,-26.830011410065822
201705,04,-81.748501995918,-0.30848491319214333
201510,04,-719.4334398446473,-5.0664326749623028
201510,19,-958.34096175561876,-13.888999445733607
201507,11,-101.97210722380362,-5.0986053611901792
201605,04,-676.64014025369841,-4.1511665046239195
201603,01,-210.408046515417,-4.8932103840794685
201612,03,-446.32904032332203,-11.745501061140056
201505,02,-50.135951045001427,-2.005438041800057
201808,18,-120.92165508659558,-20.153609181099263
201611,13,-62.359128474830996,-62.359128474830996
201509,18,-55.526769848832245,-13.881692462208061
201609,07,8.7311033670363756,2.1827758417590921
201605,12,-162.58604773947769,-8.1293023869738867
201607,19,-1929.2164769051089,-18.550158431779895
201606,04,-555.86517803685933,-1.4783648352044136
202003,15,-2.03045685279188,-2.03045685279188
202004,08,-452.11201077466649,-13.297412081607838
201504,06,-361.40391460258775,-17.209710219170841
201803,10,-905.77866755263926,-36.231146702105569
202002,13,-24.485665615812561,-3.4979522308303657
201811,08,-426.543977033261,-14.218132567775365
201910,08,-191.24586032429684,-38.249172064859366
201508,12,-274.47939177161066,-17.154961985725663
201603,13,-44.689089310158572,-5.5861361637698206
201908,15,-186.32697509104372,-11.645435943190234
202002,03,-159.6179962611069,-6.1391537023502645
201710,10,-292.08190401199693,-20.862993143714064
201910,18,-8.98345153664304,-4.49172576832152
201707,11,-1240.3226885910974,-17.226704008209683
201807,07,-45.007875325890744,-2.250393766294537
201702,09,-9.8407878331501415,-1.6401313055250233
201504,11,-811.08867912781909,-15.303559983543751
201508,01,-773.21767250997186,-8.6878390169659774
201807,17,-232.93581454884048,-10.127644110819153
201910,01,-490.98800228562834,-7.2204117983180636
201910,06,-203.56116092519468,-8.850485257617164
201905,19,-1968.7757184188667,-24.305873066899586
201909,17,-265.6045698718591,-13.280228493592954
201601,18,-118.36315530318379,-23.672631060636757
201902,17,-201.28182030661404,-15.483216946662621
202001,07,11.616716610038281,0.37473279387220249
201504,15,-172.4631628898141,-28.743860481635682
202001,09,-117.44659008552718,-13.049621120614132
201906,11,-373.23248960776118,-10.367569155771145
201904,10,-325.28909037300207,-32.52890903730021
202003,09,-86.387966039128685,-17.277593207825738
201705,07,-44.787753731535609,-4.47877537315356
201503,18,-32.475292385240522,-16.237646192620261
201707,14,-468.8835524990331,-24.678081710475428
201707,03,1866.7799275792063,5.870377130752221
201708,07,-306.02439755099846,-10.929442769678516
201703,01,-974.8203940626471,-9.2840037529775934
201704,13,-17.848432055749008,-3.5696864111498021
201702,02,-609.42199652176407,-8.1256266202901877
201701,04,-2250.9007223709659,-6.5815810595642263
201709,11,-4074.4035976420882,-25.951615271605657
201809,11,-1477.7593813561468,-18.243942979705515
201610,04,-398.26739203057144,-2.8245914328409309
201601,07,-249.96762284608539,-13.887090158115853
201503,05,-427.80214888767136,-6.0253823786995948
201801,13,-186.07871712273339,-26.5826738746762
201808,03,-64.383612033014685,-2.2994147154648115
201503,12,-111.31011810142682,-11.131011810142681
201503,13,-55.861012710536457,-4.6550843925447047
201812,12,-14.437934228760623,-1.8047417785950781
201606,11,-681.903353347062,-8.5237919168382721
202005,18,-138.36212971930578,-23.060354953217633
201503,02,-83.204335093499523,-5.2002709433437193
201605,19,-618.24622093084838,-11.889350402516317
201803,16,-405.75750012055283,-18.443522732752403
201910,05,-193.64951125139311,-4.6107026488426923
201907,17,-220.54440220412803,-24.504933578236447
201911,19,-512.07952456486555,-9.8476831647089575
