MonthYear,Actor1CountryCode,Events ,sumNumMentions,materialConfCoop    ,verbalConfCoop      ,avgAvgTone           ,avgGoldstein         ,fightCount,expressCount
202001   ,GTM              ,5629   ,28962         ,0.15135903357612365 ,0.11671700124356013 ,-2.5466529562044422  ,0.96610410374844535  ,259       ,80
202001   ,CUB              ,6405   ,34365         ,0.11975019516003123 ,0.12505854800936769 ,-1.4212674403322352  ,0.99197501951600353  ,128       ,90
202001   ,SYR              ,27473  ,123548        ,0.28118516361518581 ,0.10927092054016671 ,-3.754333441899393   ,-1.056906781203363   ,5644      ,425
202001   ,NZL              ,11975  ,56985         ,0.11632567849686848 ,0.10004175365344467 ,-1.048673388657408   ,1.0737453027139874   ,613       ,240
202001   ,MYS              ,13488  ,64581         ,0.11232206405693951 ,0.11373072360616844 ,-1.8527195165657564  ,1.0040702846975087   ,506       ,365
202001   ,AZE              ,5753   ,30631         ,0.124282982791587   ,0.087432643837997565,-0.76353766443431759 ,0.96874674083087031  ,340       ,53
202001   ,GNQ              ,407    ,1952          ,0.11056511056511056 ,0.085995085995086   ,-0.43624821094462762 ,1.5643734643734641   ,9         ,2
202001   ,SLB              ,370    ,1701          ,0.17567567567567569 ,0.0891891891891892  ,-1.2951626134614991  ,0.5821621621621621   ,22        ,9
202001   ,CYM              ,234    ,1348          ,0.068376068376068383,0.10256410256410256 ,-0.97060765002602412 ,1.5747863247863247   ,4         ,8
202001   ,GRD              ,546    ,2254          ,0.071428571428571425,0.0641025641025641  ,-0.57429540905115528 ,1.5769230769230769   ,7         ,9
