MonthYear,EventRootCode,SumNumMentions,AvgNumMentions
201604   ,01           ,1118          ,5.152073732718895
201503   ,03           ,243           ,4.5
201511   ,12           ,82            ,4.5555555555555554
201507   ,06           ,56            ,4.666666666666667
201905   ,09           ,115           ,6.3888888888888884
202002   ,09           ,10            ,5.0
201909   ,18           ,106           ,6.625
201809   ,14           ,48            ,5.3333333333333339
201912   ,08           ,81            ,4.05
201911   ,18           ,28            ,4.6666666666666661
201704   ,19           ,333           ,4.2692307692307683
201608   ,02           ,318           ,4.2972972972972956
201609   ,11           ,912           ,6.3776223776223766
201705   ,12           ,180           ,6.6666666666666679
201701   ,08           ,187           ,4.0652173913043477
201710   ,08           ,134           ,4.6206896551724137
201805   ,02           ,325           ,5.4166666666666679
201801   ,13           ,24            ,4.8
201503   ,08           ,246           ,4.5555555555555571
201602   ,07           ,33            ,3.6666666666666665
201512   ,09           ,173           ,4.4358974358974361
201812   ,06           ,118           ,4.06896551724138
201809   ,10           ,6             ,1.2
201908   ,14           ,6             ,2.0
201904   ,17           ,183           ,5.545454545454545
201904   ,15           ,42            ,4.666666666666667
202001   ,10           ,114           ,6.7058823529411757
202003   ,11           ,243           ,5.0625
202005   ,13           ,40            ,5.7142857142857144
201611   ,11           ,758           ,6.6491228070175437
201706   ,06           ,182           ,5.1999999999999993
201612   ,06           ,76            ,5.4285714285714279
201712   ,15           ,10            ,2.5
201507   ,01           ,292           ,4.4242424242424239
201910   ,16           ,96            ,6.0
201810   ,19           ,103           ,3.1212121212121211
201810   ,01           ,323           ,3.7558139534883721
201908   ,20           ,6             ,3.0
201902   ,18           ,54            ,7.7142857142857144
201704   ,20           ,14            ,3.5
201610   ,19           ,390           ,4.382022471910112
201703   ,07           ,87            ,5.117647058823529
201802   ,09           ,55            ,4.2307692307692308
201612   ,18           ,39            ,4.875
201710   ,11           ,424           ,6.73015873015873
201710   ,12           ,148           ,6.4347826086956514
201801   ,06           ,55            ,5.0
201709   ,09           ,12            ,2.4000000000000004
201804   ,10           ,16            ,2.666666666666667
201805   ,13           ,83            ,4.6111111111111107
201507   ,03           ,147           ,5.6538461538461533
